"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---AND gates","74HC2G08DC","http://www.nxp.com/products/logic/gates/and_gates/74HC2G08DC.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G08.pdf","Production","HC(T)","AND gates","dual 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","9","","2","low","-40~125","204","35.1","115","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---AND gates","74HC2G08DP","http://www.nxp.com/products/logic/gates/and_gates/74HC2G08DP.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G08.pdf","Production","HC(T)","AND gates","dual 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","9","","2","low","-40~125","216","20.5","106","8","TSSOP8","SOT505-2"
"nxp","Logic---Gates---AND gates","74HC2G08GD","http://www.nxp.com/products/logic/gates/and_gates/74HC2G08GD.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G08.pdf","Production","HC(T)","AND gates","dual 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","9","","2","low","-40~125","618","83.2","277","8","XSON8","SOT996-2"
"nxp","Logic---Gates---AND gates","74HCT2G08DC","http://www.nxp.com/products/logic/gates/and_gates/74HCT2G08DC.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G08.pdf","Production","HC(T)","AND gates","dual 2-Input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","14","","2","low","-40~125","204","35.1","115","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---AND gates","74HCT2G08DP","http://www.nxp.com/products/logic/gates/and_gates/74HCT2G08DP.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G08.pdf","Production","HC(T)","AND gates","dual 2-Input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","14","","2","low","-40~125","216","20.5","106","8","TSSOP8","SOT505-2"
"nxp","Logic---Gates---AND gates","74HCT2G08GD","http://www.nxp.com/products/logic/gates/and_gates/74HCT2G08GD.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G08.pdf","Production","HC(T)","AND gates","dual 2-Input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","14","","2","low","-40~125","618","83.2","277","8","XSON8","SOT996-2"
"nxp","Logic---Gates---AND gates","74HC08BQ","http://www.nxp.com/products/logic/gates/and_gates/74HC08BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT08.pdf","Production","HC(T)","AND gates","quad 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","7","","4","low","-40~125","107","21.5","75","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---AND gates","74HC08D","http://www.nxp.com/products/logic/gates/and_gates/74HC08D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT08.pdf","Production","HC(T)","AND gates","quad 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","7","","4","low","-40~125","109","20.8","67","14","SO14","SOT108-1"
"nxp","Logic---Gates---AND gates","74HC08DB","http://www.nxp.com/products/logic/gates/and_gates/74HC08DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT08.pdf","Production","HC(T)","AND gates","quad 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","7","","4","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Gates---AND gates","74HC08PW","http://www.nxp.com/products/logic/gates/and_gates/74HC08PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT08.pdf","Production","HC(T)","AND gates","quad 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","7","","4","low","-40~125","142","8.02430530973451","67.9770221238938","14","TSSOP14","SOT402-1"
