"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Number of Switches","Configuration","Icc Max (uA)","ron Max (Ohms)","VCC Min (V)","VCC Max (V)","Package Type"
"on","模拟开关---信号开关","NLAS4783","NLAS4783MN1R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS4783MN1R2G","http://www.onsemi.com/pub/Collateral/NLAS4783-D.PDF","Analog Switch, Triple SPDT, High Speed, Low-Voltage, 1 ohm CMOS","Pb-free
Halide free","Active","Analog Switch, Triple SPDT, High Speed, Low-Voltage, 1 ohm CMOS","3","6","SPDT","2","1.2","1.65","3.6","QFN-16"
"on","模拟开关---信号开关","NLAS5123","NLAS5123MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS5123MNR2G","http://www.onsemi.com/pub/Collateral/NLAS5123-D.PDF","Analog Switch, SPDT, 1 Ohm","Pb-free
Halide free","Active","Analog Switch, SPDT, 1 Ohm","1","2","SPDT","1","1","1.65","5.5","UDFN-6
WDFN-6"
"on","模拟开关---信号开关","NLAS5123","NLAS5123MUR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS5123MUR2G","http://www.onsemi.com/pub/Collateral/NLAS5123-D.PDF","Analog Switch, SPDT, 1 Ohm","Pb-free
Halide free","Active","Analog Switch, SPDT, 1 Ohm","1","2","SPDT","1","1","1.65","5.5","UDFN-6
WDFN-6"
"on","模拟开关---信号开关","NLAS5213","NLAS5213AMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS5213AMUTAG","http://www.onsemi.com/pub/Collateral/NLAS5213-D.PDF","Analog Switch, DPST and Dual SPST","Pb-free
Halide free","Active","Analog Switch, DPST and Dual SPST","2","2","DPST
SPST","1","1.3","1.65","4.5","UDFN-8
US8"
"on","模拟开关---信号开关","NLAS5213","NLAS5213AUSG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS5213AUSG","http://www.onsemi.com/pub/Collateral/NLAS5213-D.PDF","Analog Switch, DPST and Dual SPST","Pb-free
Halide free","Active","Analog Switch, DPST and Dual SPST","2","2","DPST
SPST","1","1.3","1.65","4.5","UDFN-8
US8"
"on","模拟开关---信号开关","NLAS5213","NLAS5213BMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS5213BMUTAG","http://www.onsemi.com/pub/Collateral/NLAS5213-D.PDF","Analog Switch, DPST and Dual SPST","Pb-free
Halide free","Active","Analog Switch, DPST and Dual SPST","2","2","DPST
SPST","1","1.3","1.65","4.5","UDFN-8
US8"
"on","模拟开关---信号开关","NLAS5213","NLAS5213BUSG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS5213BUSG","http://www.onsemi.com/pub/Collateral/NLAS5213-D.PDF","Analog Switch, DPST and Dual SPST","Pb-free
Halide free","Active","Analog Switch, DPST and Dual SPST","2","2","DPST
SPST","1","1.3","1.65","4.5","UDFN-8
US8"
"on","模拟开关---信号开关","NLAS52231","NLAS52231MUR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS52231MUR2G","http://www.onsemi.com/pub/Collateral/NLAS52231.PDF","Analog Switch, Dual SPDT, Ultra-Low Ron, 0.4 Ω","Pb-free
Halide free","Active","Analog Switch, Dual SPDT, Ultra-Low Ron, 0.4 &#937;","2","4","SPDT","2","0.5","1.65","4.5","UQFN-10"
"on","模拟开关---信号开关","NLAS5223C","NLAS5223CLMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS5223CLMUTAG","http://www.onsemi.com/pub/Collateral/NLAS5223C-D.PDF","Ultra-Low 0.35 Ω Dual SPDT Analog Switch, Ultra-Low 0.35 ohm Dual SPDT Analog Switch","Pb-free
Halide free","Active","Ultra-Low 0.35 Ω Dual SPDT Analog Switch","2","4","SPDT","2","0.35","1.65","4.5","UQFN-10"
"on","模拟开关---信号开关","NLAS5223C","NLAS5223CMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS5223CMUTAG","http://www.onsemi.com/pub/Collateral/NLAS5223C-D.PDF","Ultra-Low 0.35 Ω Dual SPDT Analog Switch, Ultra-Low 0.35 ohm Dual SPDT Analog Switch","Pb-free
Halide free","Active","Ultra-Low 0.35 Ω Dual SPDT Analog Switch","2","4","SPDT","2","0.35","1.65","4.5","UQFN-10"
