"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Configuration","VRRM Min (V)","VF Max (V)","IRM Max (uA)","IO(rec) Max (A)","IFSM Max (A)","trr Max (ns)","Cj Max (pF)","Package Type"
"on","二极管和整流器---肖特基二极管及整流器","MBR830MFS","NRVB830MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB830MFST3G","http://www.onsemi.com/pub/Collateral/MBR830MFS-D.PDF","8 A, 30 V Schottky Diode in SO-8FL
, 8A  30V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 30 V Schottky Diode in SO-8FL
","Single","30","0.7","200","8","150",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR8H100MFS","MBR8H100MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR8H100MFST1G","http://www.onsemi.com/pub/Collateral/MBR8H100MFS-D.PDF","8 A, 100 V Schottky Diode in SO-8FL
, 8A 100V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 100 V Schottky Diode in SO-8FL
","Single","100","0.9","2","8","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR8H100MFS","MBR8H100MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR8H100MFST3G","http://www.onsemi.com/pub/Collateral/MBR8H100MFS-D.PDF","8 A, 100 V Schottky Diode in SO-8FL
, 8A 100V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 100 V Schottky Diode in SO-8FL
","Single","100","0.9","2","8","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR8H100MFS","NRVB8H100MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB8H100MFST1G","http://www.onsemi.com/pub/Collateral/MBR8H100MFS-D.PDF","8 A, 100 V Schottky Diode in SO-8FL
, 8A 100V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 100 V Schottky Diode in SO-8FL
","Single","100","0.9","2","8","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR8H100MFS","NRVB8H100MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB8H100MFST3G","http://www.onsemi.com/pub/Collateral/MBR8H100MFS-D.PDF","8 A, 100 V Schottky Diode in SO-8FL
, 8A 100V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 100 V Schottky Diode in SO-8FL
","Single","100","0.9","2","8","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBRA130L","MBRA130LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBRA130LT3G","http://www.onsemi.com/pub/Collateral/MBRA130LT3-D.PDF","Schottky Power Rectifier, Surface Mount, 1.0 A, 30 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Surface Mount, 1.0 A, 30 V","Single","30","0.41","1000","1","25",,,"SMA-2"
"on","二极管和整流器---肖特基二极管及整流器","MBRA130L","NRVBA130LT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVBA130LT3G","http://www.onsemi.com/pub/Collateral/MBRA130LT3-D.PDF","Schottky Power Rectifier, Surface Mount, 1.0 A, 30 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Surface Mount, 1.0 A, 30 V","Single","30","0.41","1000","1","25",,,"SMA-2"
"on","二极管和整流器---肖特基二极管及整流器","MBRA160T3","MBRA160T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBRA160T3G","http://www.onsemi.com/pub/Collateral/MBRA160T3-D.PDF","Schottky Power Rectifier, Surface Mount, 1.0 A, 60 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Surface Mount, 1.0 A, 60 V","Single","60","0.51","20","1","30",,,"SMA-2"
"on","二极管和整流器---肖特基二极管及整流器","MBRA160T3","NRVBA160T3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVBA160T3G","http://www.onsemi.com/pub/Collateral/MBRA160T3-D.PDF","Schottky Power Rectifier, Surface Mount, 1.0 A, 60 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Schottky Power Rectifier, Surface Mount, 1.0 A, 60 V","Single","60","0.51","20","1","30",,,"SMA-2"
"on","二极管和整流器---肖特基二极管及整流器","MBRA210ET3","MBRA210ET3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBRA210ET3G","http://www.onsemi.com/pub/Collateral/MBRA210ET3-D.PDF","Schottky Power Rectifier, Surface Mount, 2.0 A, 10 V","AEC Qualified
Pb-free
Halide free","Active","Schottky Power Rectifier, Surface Mount, 2.0 A, 10 V","Single","10","0.5","15","2","150",,,"SMA-2"
