"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Input Level","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---转换器","NLSX5002","NLSX5002BMUTCG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX5002BMUTCG","http://www.onsemi.com/pub/Collateral/NLSX5002-D.PDF","2-Bit 100 Mbps Configurable Dual-Supply Level Translator","Pb-free
Halide free","Active","2-Bit 100 Mbps Configurable Dual-Supply Level Translator","2","CMOS","0.9","4.5","13","0.02","UQFN-8"
"on","标准逻辑---转换器","NLSX5012","NLSX5012DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX5012DMR2G","http://www.onsemi.com/pub/Collateral/NLSX5012-D.PDF","Level Translator, 2-Bit, 140 Mbps, Enhanced Dual-Supply, Auto Sense","Pb-free
Halide free","Active","Level Translator, 2-Bit, 140 Mbps, Enhanced Dual-Supply, Auto Sense","2","CMOS","0.9","4.5","11","0.02","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX5012","NLSX5012DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX5012DR2G","http://www.onsemi.com/pub/Collateral/NLSX5012-D.PDF","Level Translator, 2-Bit, 140 Mbps, Enhanced Dual-Supply, Auto Sense","Pb-free
Halide free","Active","Level Translator, 2-Bit, 140 Mbps, Enhanced Dual-Supply, Auto Sense","2","CMOS","0.9","4.5","11","0.02","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX5012","NLSX5012MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX5012MUTAG","http://www.onsemi.com/pub/Collateral/NLSX5012-D.PDF","Level Translator, 2-Bit, 140 Mbps, Enhanced Dual-Supply, Auto Sense","Pb-free
Halide free","Active","Level Translator, 2-Bit, 140 Mbps, Enhanced Dual-Supply, Auto Sense","2","CMOS","0.9","4.5","11","0.02","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","PCA9306","NLV9306USG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV9306USG","http://www.onsemi.com/pub/Collateral/PCA9306-D.PDF","Dual Bidirectional I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Dual Bidirectional I<sup>2</sup>C Bus and SMBus Voltage Level Translator","2","CMOS","0","5.5","2","64","TSSOP-8
UDFN-8
UQFN-8
US8"
"on","标准逻辑---转换器","PCA9306","PCA9306AMUTCG","http://www.onsemi.cn/PowerSolutions/product.do?id=PCA9306AMUTCG","http://www.onsemi.com/pub/Collateral/PCA9306-D.PDF","Dual Bidirectional I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Dual Bidirectional I<sup>2</sup>C Bus and SMBus Voltage Level Translator","2","CMOS","0","5.5","2","64","TSSOP-8
UDFN-8
UQFN-8
US8"
"on","标准逻辑---转换器","PCA9306","PCA9306DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=PCA9306DTR2G","http://www.onsemi.com/pub/Collateral/PCA9306-D.PDF","Dual Bidirectional I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Dual Bidirectional I<sup>2</sup>C Bus and SMBus Voltage Level Translator","2","CMOS","0","5.5","2","64","TSSOP-8
UDFN-8
UQFN-8
US8"
"on","标准逻辑---转换器","PCA9306","PCA9306FMUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=PCA9306FMUTAG","http://www.onsemi.com/pub/Collateral/PCA9306-D.PDF","Dual Bidirectional I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Dual Bidirectional I<sup>2</sup>C Bus and SMBus Voltage Level Translator","2","CMOS","0","5.5","2","64","TSSOP-8
UDFN-8
UQFN-8
US8"
"on","标准逻辑---转换器","PCA9306","PCA9306FMUTCG","http://www.onsemi.cn/PowerSolutions/product.do?id=PCA9306FMUTCG","http://www.onsemi.com/pub/Collateral/PCA9306-D.PDF","Dual Bidirectional I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Dual Bidirectional I<sup>2</sup>C Bus and SMBus Voltage Level Translator","2","CMOS","0","5.5","2","64","TSSOP-8
UDFN-8
UQFN-8
US8"
"on","标准逻辑---转换器","PCA9306","PCA9306USG","http://www.onsemi.cn/PowerSolutions/product.do?id=PCA9306USG","http://www.onsemi.com/pub/Collateral/PCA9306-D.PDF","Dual Bidirectional I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Dual Bidirectional I<sup>2</sup>C Bus and SMBus Voltage Level Translator","2","CMOS","0","5.5","2","64","TSSOP-8
UDFN-8
UQFN-8
US8"
