"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Feature","Vcc","Sector Type","Bus Width","Access Time (ns)","Packages","Temperature Range"
"mxic","NOR Flash---Parallel NOR Flash","MX29SL800C/802C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29SL800C/802C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2373/MX29SL800C-802C T-B, 1.8V, 8Mb, v2.0.pdf","8Mb","Production","-","1.65V-2.2V","Boot sector","x8, x16","90","48-TSOP 48-TFBGA 48-LFBGA 48-WFBGA 48-XFLGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV008C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV008C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2403/MX29LV008C T-B, 3V, 8Mb, v2.0.pdf","8Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8","70","40-TSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29F040C","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29F040C","http://www.macronix.com/Lists/Datasheet/Attachments/2408/MX29F040C, 5V, 4Mb, v2.2.pdf","4Mb","Production","-","4.5V-5.5V","Uniform Sector","x8","70","32-TSOP 32-PLCC","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29F400C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29F400C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2376/MX29F400C T-B, 5V, 4Mb, v2.2.pdf","4Mb","Production","-","4.5V-5.5V","Boot Sector","x8,  x16","70","44-SOP  48-TSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV400C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV400C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2398/MX29LV400C T-B, 3V, 4Mb, v2.6.pdf","4Mb","Production, for new design","-","2.7V-3.6V","Boot Sector","x8, x16","70","44-SOP 48-LFBGA 48-TFBGA 48-TSOP 48-WFBGA 48-XFLGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV040C","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV040C","http://www.macronix.com/Lists/Datasheet/Attachments/2405/MX29LV040C, 3V, 4Mb, v2.6.pdf","4Mb","Production","-","2.7V-3.6V","Uniform Sector","x8","70","32-TSOP 32-PLCC","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29SL402C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29SL402C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2375/MX29SL402C T-B, 1.8V, 4Mb, v1.0.pdf","4Mb","Production","-","1.65V-2.2V","Boot Sector","x8, x16","90","48-TSOP 48-TFBGA 48-LFBGA 48-WFBGA 48-XFLGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV004C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV004C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2401/MX29LV004C T-B, 3V, 4Mb, v2.0.pdf","4Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8","70","32-PLCC","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV004C T/B (40-TSOP only)","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV004C T/B (40-TSOP only)","http://www.macronix.com/Lists/Datasheet/Attachments/2402/MX29LV004C T-B (40-TSOP only), 3V, 4Mb, v2.0.pdf","4Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8","70","40-TSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29SL400C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29SL400C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2377/MX29SL400C T-B, 1.8V, 4Mb, v0.04.pdf","4Mb","End of Life","-","1.65V-2.2V","Boot Sector","x8, x16","90","48-TSOP 48-TFBGA 48-LFBGA 48-WFBGA 48-XFLGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29F200C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29F200C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2409/MX29F200C T-B, 5V, 2Mb, v2.0.pdf","2Mb","Production","-","4.5V-5.5V","Boot Sector","x8, x16","70","44-SOP 48-TSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV002C/002NC T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV002C/002NC T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2400/MX29LV002C-002NC T-B, 3V, 2Mb, v2.0.pdf","2Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8","70","32-TSOP 32-PLCC","-40℃ to +85℃"," "
