"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102436B_204818B.pdf","36M","1Mx36","3.3V","2.5/3.3V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102436B_204818B.pdf"," ","2Mx18","3.3V","2.5/3.3V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102436B_204818B.pdf"," ","1Mx36","2.5V","2.5V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102436B_204818B.pdf"," ","2Mx18","2.5V","2.5V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVVP102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102436B_204818B.pdf"," ","1Mx36","1.8V","1.8V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVVP204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102436B_204818B.pdf"," ","2Mx18","1.8V","1.8V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF102436B_204818B.pdf"," ","1Mx36","3.3V","2.5/3.3V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF102436B_204818B.pdf"," ","2Mx18","3.3V","2.5/3.3V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF102436B_204818B.pdf"," ","1Mx36","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF102436B_204818B.pdf"," ","2Mx18","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVVF102436B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF102436B_204818B.pdf"," ","1Mx36","1.8V","1.8V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVVF204818B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF102436B_204818B.pdf"," ","2Mx18","1.8V","1.8V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP204836B_409618B.pdf","72M","2Mx36","3.3V","2.5/3.3V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP204836B_409618B.pdf"," ","4Mx18","3.3V","2.5/3.3V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP204836B_409618B.pdf"," ","2Mx36","2.5V","2.5V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP204836B_409618B.pdf"," ","4Mx18","2.5V","2.5V","166,200,250","2.6,3.1,3.5","QFP(100),BGA(165,209)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVVP204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP204836B_409618B.pdf"," ","2Mx36","1.8V","1.8V","166,200,250","2.6,3.1","QFP(100),BGA(165,209)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVVP409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP204836B_409618B.pdf"," ","4Mx18","1.8V","1.8V","166,200,250","2.6,3.1","QFP(100),BGA(165,209)","Prod","-","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF204836B_409618B.pdf"," ","2Mx36","3.3V","2.5/3.3V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF204836B_409618B.pdf"," ","4Mx18","3.3V","2.5/3.3V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF204836B_409618B.pdf"," ","2Mx36","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF204836B_409618B.pdf"," ","4Mx18","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVVF204836B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF204836B_409618B.pdf"," ","2Mx36","1.8V","1.8V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVVF409618B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF204836B_409618B.pdf"," ","4Mx18","1.8V","1.8V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
